;Author username;Author tag;Author avatar;Is bot;Date;Content;Mentions;Attachments;channel;sentiment_roberta;score_roberta
10;Stantheman2113;#3774;https://cdn.discordapp.com/avatars/313029531340374016/15917464fc9570d9c95f357907419598.png;No;03/05/2022 22:53:47;either way if I close out and redeem that pairing I still get the .023 SOL back I'm not overly concerned was just taken by surprise is all;;;sa_askaquestion;Neutral;0.7156409025192261
11;Stantheman2113;#3774;https://cdn.discordapp.com/avatars/313029531340374016/15917464fc9570d9c95f357907419598.png;No;03/05/2022 22:53:10;that's a good question I'm not 100 sure if I purchased with ATLAS or USDC hmmmmm maybe that's it;;;sa_askaquestion;Neutral;0.6987292766571045
12;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;03/05/2022 22:47:34;Or if you recovered your SOL fees you shall pay again;;;sa_askaquestion;Neutral;0.8220669031143188
13;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;03/05/2022 22:47:20;Change the currency to the one you used the first time;Stantheman2113#3774;;sa_askaquestion;Neutral;0.7693226337432861
14;yaawn;#0001;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;03/05/2022 22:46:35;Actually it definitely does if I recall now I remember there being USD and ATLAS pairs;;;sa_askaquestion;Neutral;0.6337135434150696
15;yaawn;#0001;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;03/05/2022 22:45:54;Did you buy your first airbike with USD I'm not sure if it creates a new one if you use a different pairing.;Stantheman2113#3774;;sa_askaquestion;Neutral;0.8738290071487427
16;Stantheman2113;#3774;https://cdn.discordapp.com/avatars/313029531340374016/15917464fc9570d9c95f357907419598.png;No;03/05/2022 22:39:17;thanks for the reply and that's what I would have thought but here's a snapshot of trying to purchase my 2nd fimbul airbike;yaawn#0001;https://cdn.discordapp.com/attachments/950465096377835600/971148970145505320/unknown.png;sa_askaquestion;Neutral;0.5664125084877014
17;yaawn;#0001;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;03/05/2022 22:37:51;no;Stantheman2113#3774;;sa_askaquestion;Neutral;0.4534934163093567
18;Stantheman2113;#3774;https://cdn.discordapp.com/avatars/313029531340374016/15917464fc9570d9c95f357907419598.png;No;03/05/2022 22:36:51;hey squad do we have to pay a new .023 sol fee on every new ship we purchase even if we already own that same ship?;;;sa_askaquestion;Neutral;0.9132080078125
19;12jresult;#8607;https://cdn.discordapp.com/avatars/887045117008048220/3b18bfb798e4aa0edc75c5bf96330242.png;No;03/05/2022 22:18:05;And what is the best mining hauling craft?;;;sa_askaquestion;Neutral;0.8181782364845276
20;12jresult;#8607;https://cdn.discordapp.com/avatars/887045117008048220/3b18bfb798e4aa0edc75c5bf96330242.png;No;03/05/2022 22:15:36;How much would you recommend in SOL should we fund our wallet with initially?;;;sa_askaquestion;Neutral;0.8991997838020325
21;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 15:36:10;non compounded;;;sa_askaquestion;Neutral;0.6965441703796387
22;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 15:36:01;apr is annual percentage return;;;sa_askaquestion;Neutral;0.8353291153907776
23;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 15:35:52;yes;;;sa_askaquestion;Positive;0.4800680875778198
24;GrievousSky91;#8065;https://cdn.discordapp.com/avatars/345602410934173696/2ea1455c1c41850b1cfd89d3c99ee0d1.png;No;03/05/2022 15:32:05;72 apr in a year?;;;sa_askaquestion;Neutral;0.7872195839881897
25;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 15:30:17;thatll get you a ship or two earning a nice 72%apr;;;sa_askaquestion;Positive;0.67807936668396
26;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 15:29:03;youll need something like 20 worth to get started;;;sa_askaquestion;Neutral;0.8114604353904724
27;GrievousSky91;#8065;https://cdn.discordapp.com/avatars/345602410934173696/2ea1455c1c41850b1cfd89d3c99ee0d1.png;No;03/05/2022 15:25:07;hey guys what is the earnings in this game what is minimal investment needed?;;;sa_askaquestion;Neutral;0.777496337890625
28;Tahacoolcrafter-(N00B);#3217;https://cdn.discordapp.com/avatars/583103831370498048/50f15b9ad93103bb66b93157af1c29bc.png;No;03/05/2022 14:55:28;ok thanks < >;Barre#2479;;sa_askaquestion;Positive;0.681709885597229
29;Tahacoolcrafter-(N00B);#3217;https://cdn.discordapp.com/avatars/583103831370498048/50f15b9ad93103bb66b93157af1c29bc.png;No;03/05/2022 14:55:26;hmm;;;sa_askaquestion;Neutral;0.6542515754699707
30;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 14:55:16;so if you buy 1k worth of them you'll get 720$/year not compounding;;;sa_askaquestion;Neutral;0.8353920578956604
31;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 14:54:02;right now theyre 5.30 which can appreciate also;;;sa_askaquestion;Neutral;0.509218692779541
32;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 14:53:40;well you can get multiple Airbikes in your fleet;;;sa_askaquestion;Neutral;0.7588317394256592
33;Tahacoolcrafter-(N00B);#3217;https://cdn.discordapp.com/avatars/583103831370498048/50f15b9ad93103bb66b93157af1c29bc.png;No;03/05/2022 14:53:16;72 of what though;;;sa_askaquestion;Neutral;0.824795126914978
34;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 14:53:03;yep;;;sa_askaquestion;Neutral;0.5069518685340881
35;Tahacoolcrafter-(N00B);#3217;https://cdn.discordapp.com/avatars/583103831370498048/50f15b9ad93103bb66b93157af1c29bc.png;No;03/05/2022 14:52:47;72 apr?;;;sa_askaquestion;Neutral;0.8532167673110962
36;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;03/05/2022 14:52:25;depends on the ships you get right now you'll earn 72%apr with the Fimbul Airbikes which is the cheapest ship (priced at 5.30 rn < >;Tahacoolcrafter-(N00B)#3217;;sa_askaquestion;Positive;0.5064217448234558
37;Tahacoolcrafter-(N00B);#3217;https://cdn.discordapp.com/avatars/583103831370498048/50f15b9ad93103bb66b93157af1c29bc.png;No;03/05/2022 14:49:56;is this a p2e game how much can you earn?;;;sa_askaquestion;Neutral;0.938482403755188
38;MartinDude;#7342;https://cdn.discordapp.com/avatars/520311309661896706/446f4e85dacc970ebe471eb5fdc38d66.png;No;03/05/2022 14:28:59;Ha thanks < for pointing out the obvious Will have a look Seems the problem is in /factory though A transaction created using getTxInstructionFuel fails while all the others work: logs [ 'Program FLEET1qqzpexyaDpqb2DGsSzE2sDCizewCg9WjrA6DBW invoke [1]', 'Program log Refueling with 1886 fuel', 'Program log Custom program error 0x13d', 'Program FLEET1qqzpexyaDpqb2DGsSzE2sDCizewCg9WjrA6DBW consumed 22975 of 200000 compute units', 'Program FLEET1qqzpexyaDpqb2DGsSzE2sDCizewCg9WjrA6DBW failed custom program error 0x13d' ];Bullet#0049;;sa_askaquestion;Negative;0.5232606530189514
39;Bullet;#0049;https://cdn.discordapp.com/avatars/268377796781408258/9d7b2f5f276969a295f0c430e9b4db54.png;No;03/05/2022 14:26:34;I'm gonna guess that dev-resources channel on the official Solana discord might be a good start not a dev so I dont know how useful it is though Link to their official discord is on their homepage (and their homepage is linked on their Twitter);MartinDude#7342;;sa_askaquestion;Neutral;0.5787540078163147
40;MartinDude;#7342;https://cdn.discordapp.com/avatars/520311309661896706/446f4e85dacc970ebe471eb5fdc38d66.png;No;03/05/2022 14:14:06;Hi all I am trying to learn something new testing out solana/web3 solana/spl-token and startatlas/factory. What I am trying to accomplish is to create a transaction with several instructions I have already been able to correctly send a transaction for just one resource using f.e createRearmInstruction My problem is when I add several (atlas/factory instructions via the add function from web3.Transaction it gives me an error custom program error 0x13d Can someone send me in the right direction? Maybe even a better discord group? Thanks 🙂;;;sa_askaquestion;Neutral;0.7007424831390381
41;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;03/05/2022 13:13:31;As I've said try another browser.. VPN if you can.. even another conection (just to test try your cellphone 3G 4G or 5G);Hironet11#9614;;sa_askaquestion;Neutral;0.8267212510108948
42;Hironet11;#9614;https://cdn.discordapp.com/avatars/630681582025310210/10fec546f438197b2768ed027072da13.png;No;03/05/2022 13:11:44;Google Chrome does not respond. Can it be fixed?;;https://cdn.discordapp.com/attachments/950465096377835600/971006139271630918/890.png;sa_askaquestion;Negative;0.7910587787628174
43;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;03/05/2022 13:09:17;Last time someone had issues with the infos loading was a connection issue But I am not sure could be SOLchain issue too =S;;;sa_askaquestion;Negative;0.7612231373786926
44;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;03/05/2022 13:08:50;Everything seems fine here friend Can you try another browser?;Hironet11#9614;https://cdn.discordapp.com/attachments/950465096377835600/971005411400511508/unknown.png;sa_askaquestion;Positive;0.7048270106315613
45;Hironet11;#9614;https://cdn.discordapp.com/avatars/630681582025310210/10fec546f438197b2768ed027072da13.png;No;03/05/2022 13:06:38;When I go to the trading screen nothing shows up.;SquallMacthorio#0646;;sa_askaquestion;Neutral;0.6264552474021912
46;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;03/05/2022 13:05:20;You can use the official marketplace https://play.staratlas.com/market;Hironet11#9614;;sa_askaquestion;Neutral;0.8528904914855957
47;Hironet11;#9614;https://cdn.discordapp.com/avatars/630681582025310210/10fec546f438197b2768ed027072da13.png;No;03/05/2022 12:53:58;Where can I trade ships?;;;sa_askaquestion;Neutral;0.9322636127471924
48;Emelyanov Eugene;#2737;https://cdn.discordapp.com/avatars/964948692694077450/9f261d1084df41e15f8dfea9a267c938.png;No;03/05/2022 11:26:51;Hello I officially represent Dex-Trade Exchange Can you recommend me someone I can talk to about our listing proposal Thank you in advance.;;;sa_askaquestion;Neutral;0.623037576675415
49;Stick;#0101;https://cdn.discordapp.com/avatars/735921568869384192/1f9720425d9db119afc1344b2bfff7e3.png;No;03/05/2022 05:00:04;Glad to hear that Youre welcome fren 🤝;Pecinalli#8028;;sa_askaquestion;Positive;0.9851117730140686
50;Pecinalli;#8028;https://cdn.discordapp.com/avatars/226783744407764992/b70326212842a2b6360141a906230fd5.png;No;03/05/2022 04:58:18;Yes thanks;;;sa_askaquestion;Positive;0.8128536939620972
51;Stick;#0101;https://cdn.discordapp.com/avatars/735921568869384192/1f9720425d9db119afc1344b2bfff7e3.png;No;03/05/2022 04:54:09;Were you able to solve it?;Pecinalli#8028;;sa_askaquestion;Neutral;0.8326156139373779
52;Pecinalli;#8028;https://cdn.discordapp.com/avatars/226783744407764992/b70326212842a2b6360141a906230fd5.png;No;03/05/2022 04:47:40;tnk you man!;Stick#0101;;sa_askaquestion;Positive;0.8815210461616516
53;Stick;#0101;https://cdn.discordapp.com/avatars/735921568869384192/1f9720425d9db119afc1344b2bfff7e3.png;No;03/05/2022 04:36:19;Hey Your problem should be solved by going to https://app.step.finance/#/dashboard Connect your wallet there and go to the dashboard scroll down a little bit and you should see open orders or unsettled balances If you see an open order cancel it and post a new one (remember to add 0.23 extra USDC to cover Serum fees) If you see unsettled balances please click on claim and you should receive them in your wallet;Pecinalli#8028;;sa_askaquestion;Neutral;0.7845702767372131
54;Pecinalli;#8028;https://cdn.discordapp.com/avatars/226783744407764992/b70326212842a2b6360141a906230fd5.png;No;03/05/2022 03:54:04;I took a Pearce X5 from sale and I haven't received it back yet and neither has the sale value I put HELPPP;;;sa_askaquestion;Negative;0.8876447081565857
55;Duncan Idaho [TREE];#0174;https://cdn.discordapp.com/avatars/923715016153256006/62c68be9678aed2aab349884cad2a461.png;No;03/05/2022 03:40:03;https://medium.com/aephia-industries/star-atlas-score-the-complete-guide-ff117f749058;jasonf#7600;;sa_askaquestion;Neutral;0.8720893859863281
56;Duncan Idaho [TREE];#0174;https://cdn.discordapp.com/avatars/923715016153256006/62c68be9678aed2aab349884cad2a461.png;No;03/05/2022 03:39:36;Did you refresh your browser?;dorianpaine#9369;;sa_askaquestion;Neutral;0.922927975654602
57;jasonf;#7600;https://cdn.discordapp.com/avatars/820650473916727316/ebb480f64abc00cf48b6d18fee90cc68.png;No;03/05/2022 02:42:59;is there instructions on how to sell a ship?;;;sa_askaquestion;Neutral;0.8832005858421326
58;dorianpaine;#9369;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;03/05/2022 02:06:30;When I click on add phantom wallet it goes to a page to download phantom but uts installed and I have sol on it...;;;sa_askaquestion;Neutral;0.7291058301925659
59;liels;#5229;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;03/05/2022 02:05:25;im gonna check that thanks;SquallMacthorio#0646;;sa_askaquestion;Positive;0.5169310569763184
60;dorianpaine;#9369;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;03/05/2022 02:05:17;I can't get to the point where I can enter my phantom wallet ID..can anyone help?;;;sa_askaquestion;Negative;0.7103358507156372
61;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;03/05/2022 01:43:51;Hope It helps;firejuggler.sol#9848;;sa_askaquestion;Positive;0.8233829140663147
62;firejuggler.sol;#9848;https://cdn.discordapp.com/avatars/880252545937838130/3a8de8b3df94934428a7593c615ed8ae.png;No;02/05/2022 23:44:18;Yea ill just try again later Its all good.;SquallMacthorio#0646;;sa_askaquestion;Positive;0.7886319160461426
63;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;02/05/2022 22:18:16;Faction right No issues.. do you have enough sol to pay for the small fee?;liels#5229;;sa_askaquestion;Neutral;0.7504798173904419
64;liels;#5229;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;02/05/2022 21:20:07;is there some conditions to chose factory;;;sa_askaquestion;Neutral;0.8911351561546326
65;liels;#5229;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;02/05/2022 21:19:07;hey i got an error while chosing my factory;;;sa_askaquestion;Negative;0.6205211877822876
66;summitica;#7506;https://cdn.discordapp.com/avatars/905149955856019476/5445ffd7ffb201a98393cbdf684ea4b1.png;No;02/05/2022 19:58:32;🙂;;;sa_askaquestion;Positive;0.6593265533447266
67;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;02/05/2022 19:58:27;here;;https://cdn.discordapp.com/attachments/950465096377835600/970746106017366096/unknown.png;sa_askaquestion;Neutral;0.6242275834083557
68;summitica;#7506;https://cdn.discordapp.com/avatars/905149955856019476/5445ffd7ffb201a98393cbdf684ea4b1.png;No;02/05/2022 19:58:25;thank man;;;sa_askaquestion;Positive;0.6551762223243713
69;summitica;#7506;https://cdn.discordapp.com/avatars/905149955856019476/5445ffd7ffb201a98393cbdf684ea4b1.png;No;02/05/2022 19:58:25;ok will try it;;;sa_askaquestion;Neutral;0.65992271900177
70;Cosmo;#8795;https://cdn.discordapp.com/avatars/472484731867627533/bb51820c45e70cdf2e99b32c1b002589.png;No;02/05/2022 19:58:00;under that manage fleet there should be three tabs and one of those three tabs should be manage fleet;;;sa_askaquestion;Neutral;0.8833501935005188
71;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;02/05/2022 19:57:57;then add your new ship in the third tab of the manage fleet;;;sa_askaquestion;Neutral;0.9149826169013977
72;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;02/05/2022 19:57:47;go into manage fleet of the enlisted X4 fleet;;;sa_askaquestion;Neutral;0.9053425192832947
73;summitica;#7506;https://cdn.discordapp.com/avatars/905149955856019476/5445ffd7ffb201a98393cbdf684ea4b1.png;No;02/05/2022 19:57:03;i get 1 X4 (already enlisted and just bought another one...;;;sa_askaquestion;Neutral;0.8595444560050964
74;Cosmo;#8795;https://cdn.discordapp.com/avatars/472484731867627533/bb51820c45e70cdf2e99b32c1b002589.png;No;02/05/2022 19:56:22;do you already have a fleet with the same ship? ie did you buy an x4 to add to your current x4 fleet;;;sa_askaquestion;Neutral;0.9362124800682068
75;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;02/05/2022 19:56:20;do you already have one of those ships enlisted?;;;sa_askaquestion;Neutral;0.9494266510009766
76;summitica;#7506;https://cdn.discordapp.com/avatars/905149955856019476/5445ffd7ffb201a98393cbdf684ea4b1.png;No;02/05/2022 19:55:41;yes;;;sa_askaquestion;Positive;0.4800680875778198
77;Cosmo;#8795;https://cdn.discordapp.com/avatars/472484731867627533/bb51820c45e70cdf2e99b32c1b002589.png;No;02/05/2022 19:55:28;did you go to faction fleet and try there?;summitica#7506;;sa_askaquestion;Neutral;0.945144772529602
78;summitica;#7506;https://cdn.discordapp.com/avatars/905149955856019476/5445ffd7ffb201a98393cbdf684ea4b1.png;No;02/05/2022 19:41:54;Bought a ship today but there ins't the option to enlist it....;;;sa_askaquestion;Negative;0.5389484763145447
79;YR;#3639;https://cdn.discordapp.com/avatars/797636065712275468/da727c39566809f4d20f31ae53dc9051.png;No;02/05/2022 17:23:00;The problem is only in the earp fleet;;;sa_askaquestion;Negative;0.844214141368866
80;YR;#3639;https://cdn.discordapp.com/avatars/797636065712275468/da727c39566809f4d20f31ae53dc9051.png;No;02/05/2022 17:22:48;Yes;;;sa_askaquestion;Positive;0.4553408920764923
81;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;02/05/2022 17:18:16;have you got enough toolkits for it;;;sa_askaquestion;Neutral;0.832023561000824
82;YR;#3639;https://cdn.discordapp.com/avatars/797636065712275468/da727c39566809f4d20f31ae53dc9051.png;No;02/05/2022 17:15:18;It's been a month trying. just the earp have this problem;;;sa_askaquestion;Negative;0.857308030128479
83;YR;#3639;https://cdn.discordapp.com/avatars/797636065712275468/da727c39566809f4d20f31ae53dc9051.png;No;02/05/2022 17:14:49;Why I can't withdraw my Earp fleet?;;;sa_askaquestion;Negative;0.49229687452316284
84;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;02/05/2022 16:56:42;If you're like me keep trying and some of your transactions will go through.;;;sa_askaquestion;Positive;0.5975134372711182
85;SquallMacthorio;#0646;https://cdn.discordapp.com/avatars/939517476595695637/4e483b792084cb63748dfc03729ed229.png;No;02/05/2022 16:56:21;Things were bad this weekend but should be normalizing now;firejuggler.sol#9848;;sa_askaquestion;Negative;0.851976752281189
86;firejuggler.sol;#9848;https://cdn.discordapp.com/avatars/880252545937838130/3a8de8b3df94934428a7593c615ed8ae.png;No;02/05/2022 16:26:08;Been two days for me;;;sa_askaquestion;Neutral;0.7912117838859558
87;firejuggler.sol;#9848;https://cdn.discordapp.com/avatars/880252545937838130/3a8de8b3df94934428a7593c615ed8ae.png;No;02/05/2022 16:25:58;Resources are failing to buy for me as well Its just the resources Needs to be fixed;Domus#2196;;sa_askaquestion;Negative;0.8970635533332825
88;Domus;#2196;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;02/05/2022 15:41:58;Hi all I managed to buy my ships with out an issue but for what ever reason when i go to buy the resources it tells me from phantom the transaction will fail (no surprise it fails) i have an ample amount of sol and atlas so im not sure whats going on kinda curious is this has been a long running issue or not;;;sa_askaquestion;Negative;0.5017152428627014
89;Barre;#2479;https://cdn.discordapp.com/avatars/206125332648951808/a_e65ea8995b333458ea5562f2616104e3.gif;No;02/05/2022 14:44:20;Gotta wait for someone to buy them from you;;;sa_askaquestion;Neutral;0.7136874794960022
90;jasonf;#7600;https://cdn.discordapp.com/avatars/820650473916727316/ebb480f64abc00cf48b6d18fee90cc68.png;No;02/05/2022 13:57:01;I have a couple of ships for sale and its at the Buy price but they just sit there as an open order am I doing something wrong?;;;sa_askaquestion;Neutral;0.6542501449584961
91;remolaon;#3235;https://cdn.discordapp.com/avatars/749583633769037854/93aaac40006cab520dd0e635a69bf727.png;No;02/05/2022 13:21:49;guys yu know how to increase sol in transction in phantom so I can buy resources Im having a hard time to get some resources;;;sa_askaquestion;Negative;0.5164113640785217
92;Taylan;#6332;https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png;No;02/05/2022 12:38:58;Hello the payment of my ship which I sold on April 30 2022 still has not been deducted how can i solve this problem?;;;sa_askaquestion;Negative;0.7568233013153076
93;buddy;#2098;https://cdn.discordapp.com/avatars/507673694626250753/ebfd959cb6e5bd69a46a650d3a42b0a1.png;No;02/05/2022 11:49:20;I mean what do u expect when theres whole agricultural worlds;;;sa_askaquestion;Neutral;0.5300701856613159
94;Pete.MATRICA✅;#9003;https://cdn.discordapp.com/avatars/970594020562726982/53f41075e4231ed4954f920314a2ef12.png;No;02/05/2022 10:12:49;That’s so poor;;;sa_askaquestion;Negative;0.9044879078865051
95;Bodhi Tree;#8175;https://cdn.discordapp.com/avatars/694773417400074260/075e31825d6aaacb81f56106b07df51e.png;No;02/05/2022 10:09:33;Maybe 20 🤷‍♂️;;;sa_askaquestion;Neutral;0.8551438450813293
96;Bodhi Tree;#8175;https://cdn.discordapp.com/avatars/694773417400074260/075e31825d6aaacb81f56106b07df51e.png;No;02/05/2022 10:09:22;Ish;;;sa_askaquestion;Neutral;0.5936887264251709
97;Bodhi Tree;#8175;https://cdn.discordapp.com/avatars/694773417400074260/075e31825d6aaacb81f56106b07df51e.png;No;02/05/2022 10:09:18;There have been problems purchasing resources 10k food off the top of my head would be about 10 atlas;Pete.MATRICA✅#9003;;sa_askaquestion;Negative;0.7165517807006836
98;Pete.MATRICA✅;#9003;https://cdn.discordapp.com/avatars/970594020562726982/53f41075e4231ed4954f920314a2ef12.png;No;02/05/2022 10:01:43;< please I need response on this asap;Bodhi Tree#8175;;sa_askaquestion;Neutral;0.5995078086853027
99;Pete.MATRICA✅;#9003;https://cdn.discordapp.com/avatars/970594020562726982/53f41075e4231ed4954f920314a2ef12.png;No;02/05/2022 10:00:53;And why haven’t I been credited yet;;;sa_askaquestion;Negative;0.5845910310745239
100;Pete.MATRICA✅;#9003;https://cdn.discordapp.com/avatars/970594020562726982/53f41075e4231ed4954f920314a2ef12.png;No;02/05/2022 10:00:39;How much would I get for selling food of 10,000 on Atlas star Market place;;;sa_askaquestion;Neutral;0.8705339431762695
101;Pete.MATRICA✅;#9003;https://cdn.discordapp.com/avatars/970594020562726982/53f41075e4231ed4954f920314a2ef12.png;No;02/05/2022 10:00:08;I’m literally new to this please;;;sa_askaquestion;Neutral;0.4509033262729645
102;Pete.MATRICA✅;#9003;https://cdn.discordapp.com/avatars/970594020562726982/53f41075e4231ed4954f920314a2ef12.png;No;02/05/2022 09:59:59;Hello 👋;;;sa_askaquestion;Positive;0.6184430718421936
103;xAlexus;#0342;https://cdn.discordapp.com/avatars/183637485979435008/a_207f091f7cc29b29ee1f40a63d94c6bd.gif;No;02/05/2022 09:47:27;you have to wait until its not degraded or you make the situation worse and try spamming your transaction to the network in the hope a validator take your transaction in the next block.;0xAl#6521;;sa_askaquestion;Negative;0.7746607065200806
104;Gwana;#8348;https://cdn.discordapp.com/avatars/302957826081423400/305cb795e53485e04c596e0634304105.png;No;02/05/2022 08:53:45;no not yet;cripiton#1198;;sa_askaquestion;Neutral;0.7541546821594238
105;cripiton;#1198;https://cdn.discordapp.com/avatars/790950982154059786/24c5d31ce376ae38e249fefe9566a983.png;No;02/05/2022 08:45:29;Thanks is there anywhere I can read up about it anything cheers!;Gwana#8348;;sa_askaquestion;Positive;0.8908200263977051
106;0xAl;#6521;https://cdn.discordapp.com/avatars/622411809109966882/fb790115f35b55d6866e39bd88226a67.png;No;02/05/2022 08:36:57;how to repair fleet when solana is degraded;;;sa_askaquestion;Negative;0.6199280023574829
107;oksy;#9977;https://cdn.discordapp.com/avatars/746538407672545311/c2dd2277e19944eeb44e16ed1c83c3ea.png;No;02/05/2022 08:07:54;brilliant Hard refresh worked Thanks so much happy days;Xap✨#4803;;sa_askaquestion;Positive;0.9876026511192322
