;id;url;created_at;author_id;conversation_id;in_reply_to_user_id;reply_count;like_count;retweet_count;quote_count;context_annotations;raw_text;text;sentiment_dict;sentiment_roberta;score_roberta;date
1127;1523780885493219328;https://twitter.com/twitter/statuses/1523780885493219328;2022-05-09 21:44:08+00:00;1522649438082285568;1523780885493219328;;1;4;3;1;[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1280550787207147521', 'name': 'Arts & culture'}}];"Hey here is my animation for the STEPN Sticker Contest 
3/3 LAUGH .. best thing to get new coins!
@stepnexclusive
 #STEPNStickerContest 
@stepnofficial

https://t.co/T0SNt0XG4h https://t.co/Qr5kPfwnsg";Hey here is my animation for the STEPN Sticker Contest 3/3 LAUGH . best thing to get new coins! #STEPNStickerContest https://t.co/T0SNt0XG4h https://t.co/Qr5kPfwnsg;[{'label': 'Positive', 'score': 0.9737890958786011}];Positive;0.9737890958786011;2022-05-09
1120;1523781084277723137;https://twitter.com/twitter/statuses/1523781084277723137;2022-05-09 21:44:55+00:00;1506728765409284102;1523781084277723137;;0;4;0;0;[];"The irony of #STEPN... sometimes there's just nothing to do.

Burned gmt minting, burned energy, scanned floor prices (gems and shoes), ogled the epics, input jog &amp; scoured @Krit_STEPN's stepnstats, opened the app 100 more times anyways...

@Stepnofficial";The irony of #STEPN.. sometimes there's just nothing to do. Burned gmt minting burned energy scanned floor prices (gems and shoes) ogled the epics input jog &amp scoured _STEPN's stepnstats opened the app 100 more times anyways...;[{'label': 'Negative', 'score': 0.840043842792511}];Negative;0.840043842792511;2022-05-09
886;1523761264861712385;https://twitter.com/twitter/statuses/1523761264861712385;2022-05-09 20:26:10+00:00;1145714414412161024;1523510929614270464;1.4390682750406533e+18;0;4;0;0;[];"@Stepnofficial stepn love &lt;3
@yukiusagi_coin 
@nonstepn 
@wataame1514 

#stepnactivationcode 
free code👟 https://t.co/EJRhe54v0a";"stepn love &lt;3 _coin #stepnactivationcode free code https://t.co/EJRhe54v0a";[{'label': 'Positive', 'score': 0.8926500082015991}];Positive;0.8926500082015991;2022-05-09
884;1523761509179879424;https://twitter.com/twitter/statuses/1523761509179879424;2022-05-09 20:27:08+00:00;1458119014278856704;1523761509179879424;;2;10;2;0;[];"STEPN DAILY Poll - Fun time

My first name is….";STEPN DAILY Poll Fun time My first name is….;[{'label': 'Positive', 'score': 0.9077034592628479}];Positive;0.9077034592628479;2022-05-09
841;1523757693533831168;https://twitter.com/twitter/statuses/1523757693533831168;2022-05-09 20:11:58+00:00;36125951;1523750595936800768;7184612.0;0;4;0;0;[];@mdudas You should Stepn home and earn while you walk!;You should Stepn home and earn while you walk!;[{'label': 'Neutral', 'score': 0.5373728275299072}];Neutral;0.5373728275299072;2022-05-09
803;1523759084016926720;https://twitter.com/twitter/statuses/1523759084016926720;2022-05-09 20:17:30+00:00;1174650392661188609;1523759084016926720;;2;9;0;0;[];"I bought the mf dip $GST 

#stepnofficial #stepn https://t.co/KyvYNxzKaR";I bought the mf dip $GST #stepnofficial #stepn https://t.co/KyvYNxzKaR;[{'label': 'Neutral', 'score': 0.47483569383621216}];Neutral;0.47483569383621216;2022-05-09
821;1523758390832689157;https://twitter.com/twitter/statuses/1523758390832689157;2022-05-09 20:14:45+00:00;1456279450140561415;1523510929614270464;1.4390682750406533e+18;6;36;3;0;"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1235998170233991168', 'name': 'Sneakers'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}]";@Stepnofficial @omerlacin @HairyTony_ @BijtjeEllen  Stepn is for sure the best you can do right now in crypto. I would love to have one of this genesis sneakers. Guys join this rocket before it starts;Stepn is for sure the best you can do right now in crypto I would love to have one of this genesis sneakers Guys join this rocket before it starts;[{'label': 'Positive', 'score': 0.9603807330131531}];Positive;0.9603807330131531;2022-05-09
889;1523761098821804033;https://twitter.com/twitter/statuses/1523761098821804033;2022-05-09 20:25:30+00:00;313167140;1523761098821804033;;1;23;3;0;[];Let’s gooooo!!! 9 ⚡️ club thanks to my boi @ktrainUSA_STEPN 😤😤😤😤 next thing I’m doing is taking my trainer to lv30 that’s my goal https://t.co/JQHWwPSvwz;Let’s gooooo!! 9 ⚡ club thanks to my boi _STEPN 😤😤😤 next thing I’m doing is taking my trainer to lv30 that’s my goal https://t.co/JQHWwPSvwz;[{'label': 'Positive', 'score': 0.9790908694267273}];Positive;0.9790908694267273;2022-05-09
959;1523770168207286273;https://twitter.com/twitter/statuses/1523770168207286273;2022-05-09 21:01:33+00:00;1488034429670805505;1523770168207286273;;0;13;8;0;[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}];"New day, new #STEPN giveaway!
I have 1 activation code. Follow me like and retweet my pinned tweet and I will extract one lucky winner. High chances to win! 

#stepnactivationcode #STEPNcode https://t.co/0gYiPn0bzU";New day new #STEPN giveaway! I have 1 activation code Follow me like and retweet my pinned tweet and I will extract one lucky winner High chances to win #stepnactivationcode #STEPNcode https://t.co/0gYiPn0bzU;[{'label': 'Positive', 'score': 0.9111102223396301}];Positive;0.9111102223396301;2022-05-09
946;1523765441339920384;https://twitter.com/twitter/statuses/1523765441339920384;2022-05-09 20:42:46+00:00;1260732518741016577;1523759646892498945;1.4824073503549932e+18;1;4;0;0;[];@Krit_STEPN @Stepnofficial @Barndog_Solana @jameswerk @ktrainUSA_STEPN @cryptocoinuk @andrewmvson @ClubSTEPNFrance @cryptBBQ @STEPN_KR I've got my marathon sneaker lined up, too!;_STEPN _Solana _STEPN _KR I've got my marathon sneaker lined up too!;[{'label': 'Neutral', 'score': 0.6058028936386108}];Neutral;0.6058028936386108;2022-05-09
940;1523765660274216960;https://twitter.com/twitter/statuses/1523765660274216960;2022-05-09 20:43:38+00:00;1504785050285617152;1523765660274216960;;2;15;0;2;[{'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '1213140847648104448', 'name': 'New TV'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847868745150119936', 'name': 'Family & relationships', 'description': 'Hobbies and interests'}}];"GN! Today I met 2 squirrels while jogging with #Stepn 

#NFTCommunity https://t.co/CtVW33TeiB";GN Today I met 2 squirrels while jogging with #Stepn #NFTCommunity https://t.co/CtVW33TeiB;[{'label': 'Positive', 'score': 0.6306043267250061}];Positive;0.6306043267250061;2022-05-09
894;1523760855552507904;https://twitter.com/twitter/statuses/1523760855552507904;2022-05-09 20:24:32+00:00;1523238758228934657;1523698673195962368;81435688.0;1;5;1;0;[];@Beto_Salomon @jameswerk @ktrainUSA_STEPN @Krit_STEPN Based on the 0-1 mint calculator graciously provided by @diogospfraga, the costs of minting have been drastically affected by the drop in GST costs… especially after the new adjustments announced by @CM_Gilgamesh.;_Salomon _STEPN _STEPN Based on the 0-1 mint calculator graciously provided by the costs of minting have been drastically affected by the drop in GST costs especially after the new adjustments announced by _Gilgamesh.;[{'label': 'Neutral', 'score': 0.6475967168807983}];Neutral;0.6475967168807983;2022-05-09
1405;1523804184054689792;https://twitter.com/twitter/statuses/1523804184054689792;2022-05-09 23:16:43+00:00;39126183;1523804184054689792;;8;32;7;0;[];Just earned $100 $GMT today running a few miles. @Stepnofficial the real #NFT GAME. 👟 #SolanaNFT #STEPN https://t.co/B4FY3hKSp5;Just earned $100 $GMT today running a few miles the real #NFT GAME #SolanaNFT #STEPN https://t.co/B4FY3hKSp5;[{'label': 'Positive', 'score': 0.7973849177360535}];Positive;0.7973849177360535;2022-05-09
1390;1523799382272868352;https://twitter.com/twitter/statuses/1523799382272868352;2022-05-09 22:57:38+00:00;1493641803790270470;1523799382272868352;;2;6;3;0;[];If you can buy an ice poker NFT when it was 5 - 6k. You can buy a BNB STEPN common sneaker, and earn some hella cash. @Jarod40020;If you can buy an ice poker NFT when it was 5 6k You can buy a BNB STEPN common sneaker and earn some hella cash;[{'label': 'Positive', 'score': 0.5181679725646973}];Positive;0.5181679725646973;2022-05-09
1485;1523807166108684288;https://twitter.com/twitter/statuses/1523807166108684288;2022-05-09 23:28:34+00:00;30897253;1523721391001923584;1.322638430279553e+18;2;5;0;0;[];@JrodMelo @allMUSCLEnoLUCK @Go4TheGoldy @nftqueen_v @Stepnofficial @Mar__C__L26 Click on your STEPN PFP and then the first line down is activation code.;_v __C__L26 Click on your STEPN PFP and then the first line down is activation code.;[{'label': 'Neutral', 'score': 0.926445484161377}];Neutral;0.926445484161377;2022-05-09
1543;1523810687809589249;https://twitter.com/twitter/statuses/1523810687809589249;2022-05-09 23:42:33+00:00;14077987;1523810687809589249;;7;37;0;0;[];in a bear market does stepn start charging us to walk?;in a bear market does stepn start charging us to walk?;[{'label': 'Neutral', 'score': 0.618999719619751}];Neutral;0.618999719619751;2022-05-09
1248;1523787271593684992;https://twitter.com/twitter/statuses/1523787271593684992;2022-05-09 22:09:30+00:00;1474401653080141825;1523706448936538112;1.4390682750406533e+18;5;4;0;0;[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878402157629440', 'name': 'Investors and patents', 'description': 'Investors and patents'}}];@Stepnofficial My friend  @MrFeahri's shoes disappeared, this problem has been going on for weeks. This is a big loss of time and money for your investors. Can resolve this issue as soon as possible, please? Our patience has run out. We believe in STEPN, please don't let us down. Kind regards.;My friend 's shoes disappeared this problem has been going on for weeks This is a big loss of time and money for your investors Can resolve this issue as soon as possible please Our patience has run out We believe in STEPN please don't let us down Kind regards.;[{'label': 'Negative', 'score': 0.8210863471031189}];Negative;0.8210863471031189;2022-05-09
1241;1523787681175506944;https://twitter.com/twitter/statuses/1523787681175506944;2022-05-09 22:11:08+00:00;922640463588405248;1523787681175506944;;3;12;0;0;[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364369', 'name': 'Allstate'}}];Sea of red across all markets today but nice to have a 294$ dividend daily in @Stepnofficial only catch is you have to run 50 mins to get the dividend #movetoearn #stepn https://t.co/4krUFSpZMR;Sea of red across all markets today but nice to have a 294 dividend daily in only catch is you have to run 50 mins to get the dividend #movetoearn #stepn https://t.co/4krUFSpZMR;[{'label': 'Positive', 'score': 0.7896442413330078}];Positive;0.7896442413330078;2022-05-09
1238;1523787811027308545;https://twitter.com/twitter/statuses/1523787811027308545;2022-05-09 22:11:39+00:00;1429397302829928460;1523510929614270464;1.4390682750406533e+18;3;7;0;2;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1304115130267963392', 'name': 'Binance Coin cryptocurrency'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1372588659346612225', 'name': 'Binance'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '174', 'name': 'Digital Assets & Crypto', 'description': 'For cryptocurrency entities'}, 'entity': {'id': '1304115130267963392', 'name': 'Binance Coin cryptocurrency'}}];"@Stepnofficial @solana
 
@binance
 
@MetaMask
 I started STEPN a fewer days ago. This was my first time to buy NFT!";I started STEPN a fewer days ago This was my first time to buy NFT!;[{'label': 'Positive', 'score': 0.7395740151405334}];Positive;0.7395740151405334;2022-05-09
1275;1523791447837003777;https://twitter.com/twitter/statuses/1523791447837003777;2022-05-09 22:26:06+00:00;1522187584876982272;1523791447837003777;;25;104;97;0;[];"🏃🏻#STEPN giveaway!🏃🏻
1 walker lvl 0 mint 0 
💰Estimation price : 18 SOL💰

How to join👇
1. Like✅
2. RT and Follow @KingOfTheNFT3 ✅

Will draw in 72 hours
#NFT #Giveaway #STEPN #GMT https://t.co/JWd0COrQlb";🏃🏻#STEPN giveaway!🏃🏻 1 walker lvl 0 mint 0 💰Estimation price 18 SOL💰 How to join👇 1 Like✅ 2 RT and Follow ✅ Will draw in 72 hours #NFT #Giveaway #STEPN #GMT https://t.co/JWd0COrQlb;[{'label': 'Neutral', 'score': 0.5661444664001465}];Neutral;0.5661444664001465;2022-05-09
1272;1523791808672587776;https://twitter.com/twitter/statuses/1523791808672587776;2022-05-09 22:27:32+00:00;1416874867086045192;1523789611621044224;1.4168748670860452e+18;3;17;0;0;[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1509325814269022208', 'name': 'Axie Infinity'}}];"I'm not talking about Axie or Stepn of course - say whatever you want about their model, the founders are all nice, respectful people

I don't respect crypto billionaires who bully critics as being POOR - that is not the industry I want to be in";I'm not talking about Axie or Stepn of course say whatever you want about their model the founders are all nice respectful people I don't respect crypto billionaires who bully critics as being POOR that is not the industry I want to be in;[{'label': 'Negative', 'score': 0.5510615110397339}];Negative;0.5510615110397339;2022-05-09
1207;1523789073776713728;https://twitter.com/twitter/statuses/1523789073776713728;2022-05-09 22:16:40+00:00;1428797308817362959;1523789073776713728;;1;4;0;0;"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1468157909318045697', 'name': 'Solana cryptocurrency'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '844603730221707264', 'name': 'Fashion', 'description': 'Fashion'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1006277139233103872', 'name': 'Behavior around fashion', 'description': 'Behavior around Fashion'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847894353708068864', 'name': 'Investing', 'description': 'Investing'}}]";Just bought a new pair of shoes #stepn #crypto #solana #fintwit https://t.co/1JZ3o0LkAx;Just bought a new pair of shoes #stepn #crypto #solana #fintwit https://t.co/1JZ3o0LkAx;[{'label': 'Positive', 'score': 0.7144103646278381}];Positive;0.7144103646278381;2022-05-09
1188;1523783788345835520;https://twitter.com/twitter/statuses/1523783788345835520;2022-05-09 21:55:40+00:00;1324873424246890496;1523783788345835520;;1;11;0;0;[{'domain': {'id': '156', 'name': 'Cities', 'description': 'Cities around the world'}, 'entity': {'id': '861946485511823361', 'name': 'Vancouver', 'description': 'Vancouver'}}];Decided to upgrade my @Stepnofficial to an uncommon after my vancouver trip. It’s safe to say I’m happy with the results #stepn #GST https://t.co/0rjqGcIXNF;Decided to upgrade my to an uncommon after my vancouver trip It’s safe to say I’m happy with the results #stepn #GST https://t.co/0rjqGcIXNF;[{'label': 'Positive', 'score': 0.9604690670967102}];Positive;0.9604690670967102;2022-05-09
1343;1523794562506194944;https://twitter.com/twitter/statuses/1523794562506194944;2022-05-09 22:38:29+00:00;1455580353234542592;1523794562506194944;;0;4;1;0;[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1372588659346612225', 'name': 'Binance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}];"🤩New web3.0 style, answer to earn!
Using the character NFT to answer questions and win prizes. 
🚀Follow Millionaire Land @answer2earn 
👉Get rewards: https://t.co/frO0QvgGLc

#NFT #Web3 #gamefi #answer2earn #BSC #stepn #MoveToEarn #answertoearn";🤩New web3.0 style answer to earn! Using the character NFT to answer questions and win prizes 🚀Follow Millionaire Land 👉Get rewards https://t.co/frO0QvgGLc #NFT #Web3 #gamefi #answer2earn #BSC #stepn #MoveToEarn #answertoearn;[{'label': 'Positive', 'score': 0.8868875503540039}];Positive;0.8868875503540039;2022-05-09
